"X","GeneSymbol","padj","log2FoldChange","diffexpressed","gene.label"
364,"Kdm3b",0.68045254754356,-0.0931094043914815,NA,NA
365,"Keap1",0.0893535980343039,-0.230915094870113,NA,NA
366,"Kif2c",0.467431909891413,0.203533394085132,NA,NA
367,"Kir3dl1.2",0.449258721562142,-0.229481846122768,NA,NA
368,"Klrb1a",0.657849283813291,-0.103093492964103,NA,NA
369,"Klrd1",0.229858624253557,-0.280107919192735,NA,NA
370,"Klrk1",0.338565942764527,-0.347923303420307,NA,NA
371,"Kmo",0.173686932127624,-0.500073603134643,NA,NA
372,"Kmt2a",0.833044015738693,-0.0554951125917036,NA,NA
373,"Kmt2d",0.0732591074867038,0.636368725244981,NA,NA
374,"Kmt2e",0.127275068887851,-0.154990332500617,NA,NA
375,"Kpna2",0.10595381176791,0.599920223381522,NA,NA
376,"Kras",0.880700514456911,-0.0402759575916938,NA,NA
377,"Krt1",0.258880854903232,-0.283792966000591,NA,NA
378,"Kyat1",0.0863723652957631,-0.285560974850402,NA,NA
379,"Kyat3",0.204273060053859,0.224268769510653,NA,NA
380,"Kynu",0.298932191144201,-0.308950240889152,NA,NA
381,"L2hgdh",0.634495058191751,0.0721388510705419,NA,NA
382,"Lag3",0.912903245366015,-0.0418201756946269,NA,NA
383,"Lama4",0.951548236937476,0.00844918983581796,NA,NA
384,"Lamb1",0.520686185761445,0.150955430974149,NA,NA
385,"Lamc1",0.0224849589481473,0.322669105674187,NA,NA
386,"Lamtor2",0.206775408464246,0.110460407132304,NA,NA
387,"Lamtor4",0.142703396270444,-0.42809365210429,NA,NA
388,"Lamtor5",0.680551390122002,0.046913939038841,NA,NA
389,"Lat",0.709628292754455,-0.0931094043914815,NA,NA
390,"Lck",0.0549024610405633,-0.55140994101013,NA,NA
391,"Ldha",0.0230303115932059,-0.392481787614307,NA,NA
392,"Ldhb",0.0880648655050039,-0.154889580337609,NA,NA
393,"Ldhc",0.0644987683748221,-0.405638801276594,NA,NA
394,"Lepr",0.175956314531653,-0.173812240891386,NA,NA
395,"Lta",0.260431152574169,-0.512206158285842,NA,NA
396,"Lta4h",0.872460066883411,-0.0498685539972272,NA,NA
397,"Ltb",0.204794881066603,-0.201633861169651,NA,NA
398,"Ltc4s",0.275933811961783,-0.37851162325373,NA,NA
399,"Ly86",0.661385466100893,-0.153156788061421,NA,NA
400,"Ly96",0.0492096119223365,-0.326202749987688,NA,NA
401,"Map1lc3b",0.145398238752383,-0.144328960776784,NA,NA
402,"Map2k1",0.0171361793899132,0.245422108980259,NA,NA
403,"Map2k2",0.87296791821317,-0.00979728760027862,NA,NA
404,"Map2k3",0.0769924090851405,-0.246373175565999,NA,NA
405,"Map3k12",0.214745527527729,-0.346090145561352,NA,NA
406,"Mapk1",0.0720759819129544,0.125249824819155,NA,NA
407,"Mapk8",0.23353864141426,0.145045344653797,NA,NA
408,"Mapk8ip1",0.800499116036928,0.0222528068471279,NA,NA
409,"Mapkap1",0.0165946058743298,0.233665553677028,NA,NA
410,"Mapt",0.920766133799313,0.0128669306923156,NA,NA
411,"Mat1a",0.390433610454572,-0.160464672193246,NA,NA
412,"Mat2a",0.366708783192202,0.145706130606851,NA,NA
413,"Mcat",0.123850552707532,-0.292368297160248,NA,NA
414,"Me2",0.160320931270276,0.372674683231446,NA,NA
415,"Mgst3",0.00615328425209822,-0.573277481225574,NA,NA
416,"Mki67",0.117069171796831,1.14900994913307,NA,NA
417,"Mlst8",0.308770713926322,-0.0918608581942227,NA,NA
418,"Mlycd",0.00448220469900349,-0.445437451594848,NA,NA
419,"Mpc1",0.197836677452932,-0.143870881530024,NA,NA
420,"Mpc2",0.11223646042558,-0.36656753949451,NA,NA
421,"Mpo",0.0552234457930809,-0.555215157327104,NA,NA
422,"Mras",0.246665629660903,-0.129818240486957,NA,NA
423,"Ms4a1",0.159576900266577,-0.884522782580064,NA,NA
424,"Ms4a2",0.0297948476847774,-0.419084332341546,NA,NA
425,"Ms4a4a",0.826374383372193,-0.0615052661130978,NA,NA
426,"Msh2",0.107302992880957,-0.304472015420563,NA,NA
427,"Msrb2",0.000646880585812766,-0.960829402719322,"DOWN","Msrb2"
428,"Mtf1",0.931518333212169,0.0115262533810277,NA,NA
429,"Mtor",0.0831064828779732,0.420003752172193,NA,NA
430,"Myb",0.400943914048668,-0.0916304754655684,NA,NA
431,"Mybl1",0.03749772557411,1.59257568483103,"UP","Mybl1"
432,"Mybl2",0.434463953538196,-0.177538185552188,NA,NA
433,"Myc",0.10301043530249,2.72895903717294,NA,NA
434,"Mycl",0.560342271998838,-0.226275855823676,NA,NA
435,"Mycn",0.726067477119706,0.126108769149823,NA,NA
436,"Myd88",0.395506728023958,0.114144121782053,NA,NA
437,"Naalad2",0.185229470927206,-0.236198220861478,NA,NA
